Company,Headquarters,Served countries,Map,Number of locations,Number of employees
Bompreço,Brazil,N/A,N/A,90,N/A
Cold Storage,Singapore,Malaysia,N/A,50,15000
NTUC FairPrice,Singapore,N/A,N/A,260,N/A
Giant (hypermarket),Malaysia,"Singapore, Brunei, Cambodia, Indonesia, Vietnam",N/A,80,N/A
Save-A-Lot,United States,N/A,N/A,900,N/A
Bruno's,United States,N/A,N/A,300,N/A
Giant Food (Landover),United States,N/A,N/A,165,22000
Tops Friendly Markets,United States,N/A,N/A,154,14000
Tops Supermarket,Thailand,N/A,N/A,120,N/A
99 Ranch Market,United States,N/A,N/A,52,N/A
Quinnsworth,Ireland,N/A,N/A,N/A,N/A
Pingo Doce,Portugal,N/A,N/A,470,N/A
Booths,United Kingdom,N/A,N/A,27,2870
Hong Kong Supermarket,United States,N/A,N/A,6,N/A
Food Basics,Canada,N/A,N/A,142,N/A
A&P Canada,Canada,N/A,N/A,135,34000
No Frills,Canada,N/A,N/A,271,N/A
Giant Eagle,United States,N/A,N/A,496,37000
Seafood City,United States,Canada,N/A,36,N/A
Shun Fat Supermarket,United States,N/A,N/A,36,N/A
Publix,United States,N/A,N/A,1361,240000
EG Group,United Kingdom,"Germany, France, Belgium, Netherlands, Luxembourg, Italy, United States, Australia, Ireland",N/A,N/A,50000
Shoppers Food & Pharmacy,United States,N/A,N/A,25,300
Farm Fresh Food & Pharmacy,United States,N/A,N/A,4,N/A
Acme Markets,United States,N/A,N/A,162,N/A
Super Saver Foods,United States,N/A,N/A,N/A,N/A
Hy-Vee,United States,N/A,N/A,285,93000
City Market,United States,N/A,N/A,N/A,N/A
City Market (Mexico),Mexico,N/A,N/A,N/A,N/A
Dillons,United States,N/A,N/A,94,11500
Hilander Foods,United States,N/A,N/A,7,N/A
JayC Food Stores,United States,N/A,N/A,64,300
City Market (US grocery store chain),United States,N/A,N/A,38,N/A
Owen's Market,United States,N/A,N/A,N/A,N/A
Carr's,United Kingdom,N/A,N/A,N/A,N/A
Delhaize Group,Belgium,"Czech Republic, Luxembourg, Greece, Romania, Serbia, United States, Indonesia",N/A,3534,N/A
Real,Germany,Poland,N/A,3534,N/A
Castorama,France,Poland,N/A,191,N/A
Nomi,Poland,N/A,N/A,20,1800
MediaMarkt,Germany,"Austria, Belgium, Hungary, Italy, Luxembourg, Netherlands, Poland, Spain, Switzerland, Turkey",N/A,1006,N/A
IKEA,Sweden,"Norway, Denmark, Switzerland, Germany, Japan, Australia, Hong Kong, Canada, Austria, Netherlands, Singapore, Spain, France, Iceland, Saudi Arabia, Belgium, Kuwait, United States, United Kingdom, Italy, Hungary, Poland, Czech Republic, Serbia, United Arab Emirates, Slovakia, Taiwan, Finland, Malaysia, China, Russia, Greece, Israel, Portugal, Turkey, Cyprus, Romania, Ireland, Dominican Republic, Bulgaria, Thailand, Macau, Lithuania, Puerto Rico, Egypt, Qatar, Croatia, Indonesia, Jordan, South Korea, Morocco, Bahrain, India, Latvia, Estonia, Ukraine, Mexico, Philippines, Slovenia, Chile, Oman, Colombia",N/A,479,219000
Office Depot,United States,N/A,N/A,960,20000
Albert Czech Republic,Czech Republic,N/A,N/A,335,10605
Biedronka,Poland,N/A,N/A,3283,70000
Scott's Food & Pharmacy,United States,N/A,N/A,18,N/A
